OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
LEMUR-1,2014-033AL,2026-08-11T09:35:02.664960,14.85409300,.0046736,97.7947,12.0068,256.4864,103.1142,0,U,40044,999,65366,.10734E-3,.886E-5,0
LEMUR-2-GREENBERG,2017-042N,2026-08-11T11:17:00.096000,15.32921130,.0009188,97.3839,43.9166,158.4484,201.7146,0,U,42837,999,49685,.25697E-3,.8103E-4,0
LEMUR-2-ANDIS,2017-042P,2026-08-11T11:51:32.774976,15.36940872,.0008716,97.3691,44.3318,158.0592,202.1028,0,U,42838,999,49694,.27907E-3,.10014E-3,0
LEMUR-2-MONSON,2017-042Q,2026-08-11T11:17:33.289152,15.29433069,.0007349,97.4103,43.7995,147.8072,212.3618,0,U,42839,999,49661,.21251E-3,.5992E-4,0
LEMUR-2-FURIAUS,2017-042R,2026-08-11T12:01:23.287008,15.31928092,.0006349,97.3786,41.7782,214.8615,145.2212,0,U,42840,999,49667,.26427E-3,.8074E-4,0
LEMUR-2-PETERG,2017-042S,2026-08-11T12:15:07.331328,15.36103565,.0004892,97.3998,48.7273,131.9874,228.1788,0,U,42841,999,49692,.27524E-3,.9603E-4,0
LEMUR-2-DEMBITZ,2017-042T,2026-08-11T10:56:54.405600,15.31863353,.0006802,97.3833,44.7942,168.0739,192.0664,0,U,42842,999,49680,.26739E-3,.8154E-4,0
LEMUR-2-ZACHARY,2017-042W,2026-08-11T11:37:18.067296,15.55216569,.0003947,97.3560,56.4903,158.6269,201.5151,0,U,42845,999,49778,.41309E-3,.27876E-3,0
LEMUR-2-AMANDA-SVANTE,2021-034B,2026-08-11T05:06:15.914880,15.37536136,.00036793,97.5734,303.0728,85.7440,274.4225,0,U,48269,999,28950,.45256224E-3,.166E-3,0
LEMUR-2-SPECIAL-K,2021-034F,2026-08-11T06:05:06.731232,15.96294948,.0009624,97.5611,315.1104,252.2543,107.7682,0,U,48273,999,29036,.13528E-2,.559671E-2,.13305E-3
LEMUR-2-EMBRIONOVIS,2023-084AQ,2026-08-11T08:46:55.424064,15.38869407,.0009846,97.6350,9.7607,115.6908,244.5355,0,U,56970,999,17616,.18329E-3,.6969E-4,0
LEMUR-2-DEVERILL-M-T,2023-100F,2026-08-11T10:12:08.633088,15.42328565,.0006349,99.4438,278.2551,197.7697,162.3323,0,U,57391,999,16975,.31741E-3,.13572E-3,0
LEMUR-2-BASS,2023-174D,2026-08-11T05:37:14.747808,15.44787204,.0005256,97.3836,308.7776,341.0459,19.0593,0,U,58259,999,15385,.17867E-3,.8276E-4,0
LEMUR-2-JK0903EM1407,2023-174CJ,2026-08-11T05:35:47.004288,15.54349344,.0003021,97.3920,315.3607,259.1954,100.8960,0,U,58336,999,15427,.22227E-3,.14458E-3,0
LEMUR-2-MJR092620,2023-174CN,2026-08-11T05:53:49.203168,15.46745743,.0004154,97.3972,314.3613,270.4326,89.6448,0,U,58340,999,15415,.19014E-3,.9425E-4,0
LEMUR-2-NIMBUS2000,2024-022A,2026-08-11T12:43:15.425760,15.42134702,.0006491,97.4053,74.2994,277.9693,82.0818,0,U,58899,999,14079,.24035E-3,.10211E-3,0
LEMUR-2-VALHALLA,2024-022B,2026-08-11T13:10:04.835712,15.41212607,.0007081,97.4052,74.2555,273.4935,86.5502,0,U,58900,999,14079,.19244E-3,.791E-4,0
