CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-08-23T02:52:41","18 SPCS","LEMUR 1","2014-033AL","EARTH","TEME","UTC","SGP4","2026-08-22T09:06:22.017600","14.85439474","0.00472131","97.7963","22.7571","219.5708","140.2058","0","U","40044","999","65529","0.00020944893000","0.00001785","0.0000000000000","6990.344","96.941","645.212","579.205","PAYLOAD","MEDIUM","US","2014-06-19","OREN","","5331732","342301077","0 LEMUR 1","1 40044U 14033AL  26234.37942150  .00001785  00000-0  20945-3 0  9995","2 40044  97.7963  22.7571 0047213 219.5708 140.2058 14.85439474655294"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-08-23T02:52:41","18 SPCS","LEMUR 2 GREENBERG","2017-042N","EARTH","TEME","UTC","SGP4","2026-08-22T18:17:29.721984","15.33217597","0.00097952","97.3855","55.1920","122.5708","237.6481","0","U","42837","999","49858","0.00047694418000","0.00015264","0.0000000000000","6844.357","93.920","472.926","459.518","PAYLOAD","MEDIUM","US","2017-07-14","TTMTR","","5331732","342302418","0 LEMUR 2 GREENBERG","1 42837U 17042N   26234.76214956  .00015264  00000-0  47694-3 0  9996","2 42837  97.3855  55.1920 0009795 122.5708 237.6481 15.33217597498588"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-08-23T02:52:41","18 SPCS","LEMUR 2 ANDIS","2017-042P","EARTH","TEME","UTC","SGP4","2026-08-22T18:09:07.429536","15.37332464","0.00091935","97.3699","55.6231","121.7987","238.4154","0","U","42838","999","49867","0.00055430903000","0.00020253","0.0000000000000","6832.138","93.669","460.284","447.722","PAYLOAD","MEDIUM","US","2017-07-14","TTMTR","","5331732","342301919","0 LEMUR 2 ANDIS","1 42838U 17042P   26234.75633599  .00020253  00000-0  55431-3 0  9996","2 42838  97.3699  55.6231 0009193 121.7987 238.4154 15.37332464498678"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-08-23T11:50:27","18 SPCS","LEMUR 2 MONSON","2017-042Q","EARTH","TEME","UTC","SGP4","2026-08-23T05:54:39.177792","15.29717598","0.00077939","97.4119","55.5370","112.2178","247.9890","0","U","42839","999","49841","0.00053995086000","0.00015497","0.0000000000000","6854.793","94.135","482.000","471.315","PAYLOAD","MEDIUM","US","2017-07-14","TTMTR","","5331766","342336875","0 LEMUR 2 MONSON","1 42839U 17042Q   26235.24628678  .00015497  00000-0  53995-3 0  9991","2 42839  97.4119  55.5370 0007794 112.2178 247.9890 15.29717598498412"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-08-23T02:52:41","18 SPCS","LEMUR 2 FURIAUS","2017-042R","EARTH","TEME","UTC","SGP4","2026-08-22T17:38:19.309344","15.32235276","0.00071384","97.3798","52.9709","173.9522","186.1807","0","U","42840","999","49839","0.00052591722000","0.00016319","0.0000000000000","6847.282","93.980","474.035","464.259","PAYLOAD","MEDIUM","US","2017-07-14","TTMTR","","5331732","342301920","0 LEMUR 2 FURIAUS","1 42840U 17042R   26234.73494571  .00016319  00000-0  52592-3 0  9995","2 42840  97.3798  52.9709 0007138 173.9522 186.1807 15.32235276498393"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-08-23T17:41:20","18 SPCS","LEMUR 2 PETERG","2017-042S","EARTH","TEME","UTC","SGP4","2026-08-23T11:53:13.281504","15.36506056","0.00050990","97.4006","60.7787","99.0850","261.0971","0","U","42841","999","49876","0.00059281009000","0.00021078","0.0000000000000","6834.588","93.719","459.938","452.968","PAYLOAD","MEDIUM","US","2017-07-14","TTMTR","","5331796","342372080","0 LEMUR 2 PETERG","1 42841U 17042S   26235.49529261  .00021078  00000-0  59281-3 0  9995","2 42841  97.4006  60.7787 0005099  99.0850 261.0971 15.36506056498763"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-08-23T17:41:20","18 SPCS","LEMUR 2 DEMBITZ","2017-042T","EARTH","TEME","UTC","SGP4","2026-08-23T11:23:10.947264","15.32177429","0.00074705","97.3845","56.7742","130.6135","229.5758","0","U","42842","999","49864","0.00049384723000","0.00015291","0.0000000000000","6847.454","93.984","474.435","464.204","PAYLOAD","MEDIUM","US","2017-07-14","TTMTR","","5331796","342372581","0 LEMUR 2 DEMBITZ","1 42842U 17042T   26235.47443226  .00015291  00000-0  49385-3 0  9994","2 42842  97.3845  56.7742 0007470 130.6135 229.5758 15.32177429498646"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-08-23T17:41:20","18 SPCS","LEMUR 2 ZACHARY","2017-042W","EARTH","TEME","UTC","SGP4","2026-08-23T12:17:52.952352","15.56336043","0.00040602","97.3554","68.8696","123.5972","236.5671","0","U","42845","999","49965","0.00078614377000","0.00055565","0.0000000000000","6776.409","92.525","401.025","395.522","PAYLOAD","MEDIUM","US","2017-07-14","TTMTR","","5331796","342372082","0 LEMUR 2 ZACHARY","1 42845U 17042W   26235.51241843  .00055565  00000-0  78614-3 0  9998","2 42845  97.3554  68.8696 0004060 123.5972 236.5671 15.56336043499659"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-08-23T17:41:20","18 SPCS","LEMUR 2 AMANDA-SVANTE","2021-034B","EARTH","TEME","UTC","SGP4","2026-08-22T17:31:16.310496","15.38158490","0.00025686","97.5720","314.9482","58.4756","301.6739","0","U","48269","999","29127","0.00082602119000","0.00031041","0.0000000000000","6829.692","93.618","453.311","449.803","PAYLOAD","MEDIUM","US","2021-04-29","FRGUI","","5331796","342374721","0 LEMUR 2 AMANDA-SVANTE","1 48269U 21034B   26234.73004989  .00031041  00000-0  82602-3 0  9996","2 48269  97.5720 314.9482 0002569  58.4756 301.6739 15.38158490291273"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-08-22T03:01:06","18 SPCS","LEMUR 2 SPECIAL K","2021-034F","EARTH","TEME","UTC","SGP4","2026-08-21T02:19:03.417312","16.26892736","0.00155087","97.5497","326.3204","267.2653","92.6864","0","U","48273","999","29194","0.00166722690000","0.05654661","0.0000025668780","6579.041","88.512","211.109","190.702","PAYLOAD","MEDIUM","US","2021-04-29","FRGUI","","5330992","342136954","0 LEMUR 2 SPECIAL K","1 48273U 21034F   26233.09656733  .05654661  25669-5  16672-2 0  9999","2 48273  97.5497 326.3204 0015509 267.2653  92.6864 16.26892736291948"
